Specimen,MSus[m3/kg]
176,0.00000005
179,4.91584E-08
182,5.48603E-08
185,5.27685E-08
188,4.25244E-08
191,5.78193E-08
194,6.17325E-08
197,5.53166E-08
200,5.84798E-08
203,6.06111E-08
206,6.28693E-08
209,6.2276E-08
212,6.04707E-08
215,6.04648E-08
218,6.15664E-08
221,6.044E-08
224,6.12997E-08
227,6.07824E-08
230,5.98593E-08
233,6.03774E-08
236,6.16374E-08
239,6.14942E-08
242,3.90033E-08
245,5.78443E-08
248,6.02962E-08
251,6.30103E-08
254,6.16777E-08
257,6.22814E-08
260,6.48634E-08
263,6.63138E-08
266,6.26246E-08
269,6.48951E-08
272,6.1253E-08
275,5.55177E-08
278,5.03299E-08
281,5.8363E-08
284,5.56207E-08
287,5.83593E-08
290,5.91461E-08
293,5.36634E-08
296,5.45624E-08
299,5.68875E-08
302,5.99148E-08
305,5.52969E-08
308,5.52087E-08
311,5.91188E-08
314,5.41612E-08
317,3.31121E-08
320,4.44699E-08
323,5.49976E-08
326,5.57029E-08
329,4.9483E-08
332,5.68409E-08
335,5.21333E-08
338,5.45601E-08
341,5.6821E-08
344,5.50452E-08
347,5.57735E-08
350,7.18089E-08
353,6.52549E-08
356,7.28978E-08
359,7.0412E-08
362,7.19749E-08
365,7.30423E-08
368,6.70127E-08
371,7.22475E-08
374,7.76939E-08
377,7.25407E-08
380,6.09343E-08
383,7.74816E-08
386,7.45E-08
389,7.21809E-08
392,6.80435E-08
395,6.66536E-08
398,6.85255E-08
401,6.70741E-08
404,6.80028E-08
407,7.31652E-08
410,7.2082E-08
413,7.30488E-08
416,7.19052E-08
419,7.77639E-08
422,7.77787E-08
425,7.61649E-08
428,7.36225E-08
431,7.42951E-08
434,6.3655E-08
437,7.28407E-08
440,7.93358E-08
443,7.36563E-08
446,6.55734E-08
449,8.09015E-08
452,8.01837E-08
455,7.51173E-08
458,7.71587E-08
461,7.27955E-08
464,7.10202E-08
467,7.14778E-08
470,5.51477E-08
473,4.12489E-08
476,4.40938E-08
479,5.0218E-08
482,6.26384E-08
485,6.57325E-08
488,5.53328E-08
491,4.95668E-08
494,5.40449E-08
497,5.93824E-08
500,5.74018E-08
503,5.73904E-08
506,5.57546E-08
509,5.52877E-08
512,5.6922E-08
515,5.60778E-08
518,5.81053E-08
521,6.25691E-08
524,5.88441E-08
527,5.69586E-08
530,6.07991E-08
533,6.28426E-08
536,6.68079E-08
539,6.36006E-08
542,6.63422E-08
545,6.49803E-08
548,6.88248E-08
551,6.66319E-08
554,6.70365E-08
557,6.13824E-08
560,6.22518E-08
563,6.21618E-08
566,6.4798E-08
569,6.47944E-08
572,6.18005E-08
575,6.09923E-08
578,6.29576E-08
581,6.0813E-08
584,6.3475E-08
587,6.24424E-08
590,6.28103E-08
593,6.11713E-08
596,6.16839E-08
600,6.08304E-08
604,6.12659E-08
608,6.06414E-08
612,6.28547E-08
616,6.30559E-08
620,6.6631E-08
624,6.83288E-08
628,6.99028E-08
632,7.19957E-08
636,7.10736E-08
640,5.97283E-08
644,6.13985E-08
648,6.15817E-08
652,6.14633E-08
656,6.26781E-08
660,6.24925E-08
664,5.86376E-08
668,6.11143E-08
672,5.77815E-08
676,5.64534E-08
680,5.84652E-08
684,5.59762E-08
688,5.70717E-08
692,6.33729E-08
696,6.05946E-08
700,5.94914E-08
704,5.83291E-08
708,5.83423E-08
712,5.70326E-08
716,5.71357E-08
720,5.72525E-08
724,6.44362E-08
728,5.98031E-08
732,5.9471E-08
736,5.9412E-08
740,5.74529E-08
744,5.96491E-08
748,7.04689E-08
752,6.72124E-08
756,6.82722E-08
760,5.72441E-08
764,6.19949E-08
768,6.46303E-08
772,6.24519E-08
776,5.94698E-08
780,6.20758E-08
784,6.20996E-08
788,5.85151E-08
792,5.82928E-08
796,5.77352E-08
800,5.94997E-08
804,5.86066E-08
808,5.76606E-08
812,5.70667E-08
816,5.79084E-08
820,5.98637E-08
824,5.9749E-08
828,5.8737E-08
832,5.52066E-08
836,5.84369E-08
840,5.67166E-08
844,5.82301E-08
848,5.90232E-08
852,6.78177E-08
856,6.26803E-08
860,5.96292E-08
864,6.78381E-08
868,7.05034E-08
872,7.0473E-08
876,6.5374E-08
880,6.82209E-08
884,5.81223E-08
888,5.96631E-08
892,5.96043E-08
896,6.09139E-08
900,5.95393E-08
904,5.89098E-08
908,6.17041E-08
912,5.51863E-08
916,7.04735E-08
920,6.88435E-08
924,6.72578E-08
928,6.7941E-08
932,6.84124E-08
936,6.40994E-08
940,6.67932E-08
944,6.50784E-08
948,6.47488E-08
952,6.8206E-08
956,6.63929E-08
960,6.84784E-08
964,6.0552E-08
968,6.62103E-08
972,5.01762E-08
976,7.16998E-08
980,6.25099E-08
984,4.92916E-08
988,6.62073E-08
992,2.3853E-07
996,6.55758E-08
1000,6.89575E-08
1004,4.11518E-07
1008,1.44652E-07
1012,1.45841E-07
1016,1.2716E-07
1020,7.8586E-08
1024,7.34293E-08
1028,1.71125E-07
1032,2.08921E-07
1036,2.71247E-07
1040,5.91089E-07
1044,6.7693E-08
1048,7.0179E-08
1052,6.80818E-08
1056,6.77055E-08
1060,6.75573E-08
1064,6.87395E-08
1068,6.82261E-08
1072,7.21931E-08
1076,5.95069E-08
1080,7.01262E-08
1084,7.09447E-08
1088,8.13483E-08
1092,6.79329E-08
1096,7.76906E-08
1100,6.76761E-08
1104,6.79049E-08
1108,7.20939E-08
1112,7.28051E-08
1116,6.70735E-08
1120,6.89055E-08
1124,6.80915E-08
1128,6.71294E-08
1132,6.99734E-08
1136,6.71709E-08
1140,7.01226E-08
1144,6.89985E-08
1148,7.13646E-08
1152,7.19108E-08
1156,7.21808E-08
1160,7.00636E-08
1164,6.95085E-08
1168,7.2334E-08
1172,7.07899E-08
1176,7.06856E-08
1180,6.8956E-08
1184,6.90776E-08
1188,6.77895E-08
1192,6.64888E-08
1196,7.0654E-08
1200,6.30394E-08
1204,6.90624E-08
1208,6.84803E-08
